gene_id,SRR21619378,SRR21619379,SRR21619380,SRR21619381,SRR21619382,SRR21619383,SRR21619384,SRR21619385,SRR21619386,SRR21619387,SRR21619388,SRR21619389,symbol
ENSG00000000003,4178,5564,5588,4797,5608,4866,6430,5611,5361,4847,5669,4455,TSPAN6
ENSG00000000005,77,99,72,63,73,75,106,89,92,78,97,80,TNMD
ENSG00000000419,2358,3231,3073,2589,3134,2452,3566,2988,3009,2616,3285,2520,DPM1
ENSG00000000457,403,606,589,535,728,513,722,675,660,607,632,524,SCYL3
ENSG00000000460,900,1215,1121,1111,1201,928,1292,1191,1111,1050,1203,943,FIRRM
ENSG00000000938,4,6,4,2,2,2,4,11,4,8,4,5,FGR
ENSG00000000971,15,37,308,89,43,29,19,26,651,96,106,27,CFH
ENSG00000001036,3845,5695,5368,4907,5573,4428,6106,5444,5253,4677,5641,4473,FUCA2
ENSG00000001084,544,755,896,610,795,716,870,769,933,646,854,621,GCLC
ENSG00000001167,1244,1854,1764,1472,1785,1674,2237,1711,1711,1604,1853,1385,NFYA
ENSG00000001460,1031,1448,1275,1227,1497,1225,1549,1325,1369,1135,1458,1162,STPG1
ENSG00000001461,1126,1557,1519,1313,1637,1381,1850,1564,1432,1283,1598,1293,NIPAL3
ENSG00000001497,3794,5675,5393,4810,5560,4530,6336,5665,5430,4736,5782,4558,LAS1L
ENSG00000001561,276,414,466,281,452,464,467,413,421,319,416,313,ENPP4
ENSG00000001617,148,255,345,223,310,269,352,264,349,242,498,280,SEMA3F
ENSG00000001626,12,15,12,14,14,9,32,22,38,17,17,16,CFTR
ENSG00000001629,1807,2518,2694,2026,2691,2426,2925,2476,2526,2212,2532,2037,ANKIB1
ENSG00000001630,2142,3483,3342,2764,3988,3634,3640,3101,3107,2449,3511,2586,CYP51A1
ENSG00000001631,875,1365,1384,1185,1451,1207,1598,1353,1305,1134,1507,1108,KRIT1
ENSG00000002016,966,1440,1332,1179,1425,1150,1596,1266,1291,1176,1324,1088,RAD52
ENSG00000002079,0,0,0,0,0,5,5,0,0,0,0,3,MYH16
ENSG00000002330,1016,1348,1625,1339,1486,1215,1705,1290,1382,1229,1499,1199,BAD
ENSG00000002549,1331,1871,1858,1621,1870,1651,2222,1849,1895,1628,2010,1477,LAP3
ENSG00000002586,3447,5342,6128,3831,9002,7828,5084,3984,5595,3661,4990,3328,CD99
ENSG00000002587,5,28,28,10,32,37,30,23,23,23,42,21,HS3ST1
ENSG00000002726,1,0,2,1,2,0,2,0,0,4,0,0,AOC1
ENSG00000002745,2,2,0,0,1,4,6,4,8,9,3,12,WNT16
ENSG00000002746,70,100,113,66,99,129,166,110,75,60,90,82,HECW1
ENSG00000002822,1242,1736,1887,1568,1925,1614,2125,1761,1703,1508,1868,1378,MAD1L1
ENSG00000002834,9683,13605,14479,11724,13304,11124,15143,13126,13761,11410,14498,10552,LASP1
ENSG00000002919,1166,1582,1573,1312,1509,1241,1823,1479,1429,1289,1563,1263,SNX11
ENSG00000002933,3,5,84,22,14,13,16,4,118,58,164,23,TMEM176A
ENSG00000003056,6959,9806,9620,8193,9390,7636,10812,9831,9066,7979,9645,7586,M6PR
ENSG00000003096,1445,1947,2162,1831,2160,1620,2280,1990,2042,1702,2184,1622,KLHL13
ENSG00000003137,33,104,450,99,121,114,34,37,1807,46,1204,56,CYP26B1
ENSG00000003147,332,405,410,322,399,324,475,365,360,329,434,311,ICA1
ENSG00000003249,1052,1520,1497,1305,1539,1241,1700,1444,1432,1355,1474,1170,DBNDD1
ENSG00000003393,3316,4532,4384,3824,4552,3894,5121,4581,4403,3696,4502,3604,ALS2
ENSG00000003400,417,577,559,520,581,483,731,573,569,556,673,536,CASP10
ENSG00000003402,1771,2515,2674,2217,2629,2227,2931,2546,2524,2259,2620,1921,CFLAR
ENSG00000003436,385,552,628,426,776,883,577,450,695,455,690,392,TFPI
ENSG00000003509,1227,1791,1781,1393,1854,1447,1996,1789,1732,1501,1901,1419,NDUFAF7
ENSG00000003756,3757,5540,5552,4235,6655,6012,6806,5306,5237,4732,5741,4424,RBM5
ENSG00000003987,58,146,92,70,132,160,191,139,105,81,88,91,MTMR7
ENSG00000003989,1233,1733,1583,1426,1916,1555,1899,1733,1756,1492,1854,1492,SLC7A2
ENSG00000004059,2504,3443,3593,2978,3668,3070,3923,3309,3326,2992,3677,2713,ARF5
ENSG00000004139,81,139,266,109,235,409,410,261,231,182,195,152,SARM1
ENSG00000004142,3299,4576,4701,3907,4543,3980,5192,4486,4434,3886,4739,3489,POLDIP2
ENSG00000004399,3024,4386,4747,3819,4425,3413,4816,4018,4137,3859,4451,3482,PLXND1
ENSG00000004455,11308,15725,14910,13108,15533,12152,17047,15298,14717,12889,15631,12536,AK2
ENSG00000004468,49,57,247,91,87,160,47,90,189,51,74,56,CD38
ENSG00000004478,7597,11280,10813,9476,11003,8764,12407,10751,10541,9148,11026,8837,FKBP4
ENSG00000004487,13642,18730,18252,15918,18437,14930,20980,18669,17485,15257,18523,14867,KDM1A
ENSG00000004534,4134,6006,5806,4574,7078,6426,6767,5893,5457,4845,6313,4804,RBM6
ENSG00000004660,199,332,296,254,376,247,386,320,281,299,335,220,CAMKK1
ENSG00000004700,3209,4203,4374,3506,4214,3397,4784,4471,4079,3669,4237,3431,RECQL
ENSG00000004766,591,704,775,570,684,715,803,744,730,593,814,575,VPS50
ENSG00000004776,20,57,135,34,118,113,49,39,589,55,556,68,HSPB6
ENSG00000004777,754,1071,977,808,1316,1076,1478,1012,912,915,978,817,ARHGAP33
ENSG00000004779,2611,3767,3702,3179,3785,3012,4218,3754,3541,3148,3701,3139,NDUFAB1
ENSG00000004799,36,128,127,29,95,212,71,57,30,115,26,32,PDK4
ENSG00000004809,0,0,1,0,0,0,1,0,0,1,2,1,SLC22A16
ENSG00000004838,45,82,75,56,276,284,96,82,62,75,58,80,ZMYND10
ENSG00000004846,114,181,175,122,144,118,203,175,167,170,145,145,ABCB5
ENSG00000004848,12,33,72,16,62,68,597,228,5,23,9,117,ARX
ENSG00000004864,2969,4100,3965,3534,3832,2974,4505,4007,3757,3331,4216,3221,SLC25A13
ENSG00000004866,1166,1766,1564,1293,1598,1384,1980,1492,1543,1420,1622,1224,ST7
ENSG00000004897,4065,5406,5714,4828,5554,4883,6297,5492,5346,4863,5738,4372,CDC27
ENSG00000004939,6,24,19,17,16,20,15,23,19,11,20,14,SLC4A1
ENSG00000004948,16,22,20,24,20,13,34,25,17,106,24,50,CALCR
ENSG00000004961,675,933,1046,864,921,749,1052,954,997,793,1025,709,HCCS
ENSG00000004975,3683,5093,4951,4255,5262,4081,5448,4918,4806,4309,5202,4045,DVL2
ENSG00000005001,34,23,28,29,25,20,32,34,30,20,28,16,PRSS22
ENSG00000005007,4743,6219,6684,5655,6847,5494,7299,6485,6411,5271,7378,5186,UPF1
ENSG00000005020,146,224,274,178,315,350,272,290,247,214,297,176,SKAP2
ENSG00000005022,25967,36563,34657,31106,35200,28048,40266,34917,33843,30301,36392,28761,SLC25A5
ENSG00000005059,573,705,698,695,808,689,836,781,738,607,719,588,MCUB
ENSG00000005073,10,25,16,8,11,8,18,12,12,21,16,5,HOXA11
ENSG00000005075,1614,2143,2135,1942,2241,1755,2560,2104,2038,1914,2288,1853,POLR2J
ENSG00000005100,1631,2243,2274,1779,2074,1831,2508,2139,2181,1908,2286,1779,DHX33
ENSG00000005102,3,8,5,8,4,5,3,5,11,4,12,8,MEOX1
ENSG00000005108,84,240,174,114,204,299,290,213,145,168,109,158,THSD7A
ENSG00000005156,2216,3320,2956,2726,3165,2565,3560,3193,3202,2510,3171,2418,LIG3
ENSG00000005175,2704,3833,3504,3126,3593,2946,4072,3778,3504,3125,3895,2966,RPAP3
ENSG00000005187,131,184,159,175,157,111,148,169,183,117,165,118,ACSM3
ENSG00000005189,267,401,417,334,396,298,482,414,382,389,402,301,REXO5
ENSG00000005194,2237,3211,3116,2650,3076,2621,3480,3111,2948,2616,3145,2584,CIAPIN1
ENSG00000005206,1605,2548,2469,2118,2791,2307,2954,2238,2400,1950,2343,1920,SPPL2B
ENSG00000005238,510,847,853,689,896,860,930,746,720,686,803,660,ATOSB
ENSG00000005243,58,81,210,75,85,59,102,95,226,83,183,71,COPZ2
ENSG00000005249,1816,2524,2366,1964,2425,2177,2831,2383,2205,1939,2293,1855,PRKAR2B
ENSG00000005302,706,1009,1060,837,1083,901,1150,929,1003,751,1012,783,MSL3
ENSG00000005339,1325,1899,2123,1641,1936,1786,2355,1766,2085,1593,2278,1508,CREBBP
ENSG00000005379,104,187,302,117,404,515,521,288,231,278,244,209,TSPOAP1
ENSG00000005381,0,0,13,2,0,0,3,7,2,1,0,3,MPO
ENSG00000005421,1,1,24,5,1,1,2,0,2,0,1,0,PON1
ENSG00000005436,784,1125,1271,934,1170,909,1390,1113,1097,1002,1149,883,GCFC2
ENSG00000005448,1217,1758,1586,1619,1969,1510,2037,1852,1608,1518,1792,1602,WDR54
ENSG00000005469,127,182,270,164,205,286,341,231,209,205,229,170,CROT
ENSG00000005471,29,47,131,33,53,70,50,23,53,56,97,32,ABCB4
ENSG00000005483,1787,2665,2619,2123,2775,2557,3049,2596,2590,2291,2795,2178,KMT2E
ENSG00000005486,1161,1688,1921,1490,2151,1985,2100,1743,1773,1548,1699,1351,RHBDD2
ENSG00000005513,556,791,832,694,1001,829,885,690,698,666,720,656,SOX8
ENSG00000005700,1748,2518,2662,2110,2560,2224,2868,2520,2378,2161,2627,1948,IBTK
ENSG00000005801,858,1331,1312,1054,1327,1214,1646,1298,1277,1120,1276,999,ZNF195
ENSG00000005810,955,1501,1570,1077,1560,1557,1803,1414,1474,1165,1460,1200,MYCBP2
ENSG00000005812,521,773,797,653,812,759,855,781,708,621,819,596,FBXL3
ENSG00000005844,26,45,29,53,52,38,36,39,46,30,52,38,ITGAL
ENSG00000005882,196,289,449,252,401,390,430,337,356,314,412,253,PDK2
ENSG00000005884,93,137,793,174,231,276,259,179,284,245,167,323,ITGA3
ENSG00000005889,585,825,900,668,766,710,909,754,832,711,879,574,ZFX
ENSG00000005893,6474,9145,9801,7678,9437,8246,9886,8613,8207,7277,8846,7199,LAMP2
ENSG00000005961,426,700,598,544,673,480,744,620,617,536,584,514,ITGA2B
ENSG00000005981,2,4,5,6,12,14,3,6,3,4,8,4,ASB4
ENSG00000006007,1899,2625,2768,2418,2714,2368,2857,2629,2498,2277,2669,1962,GDE1
ENSG00000006015,1579,2123,2289,1997,2358,1886,2503,2113,2268,1865,2265,1829,REX1BD
ENSG00000006016,188,295,309,264,300,298,352,230,353,247,281,236,CRLF1
ENSG00000006025,760,1051,991,901,1106,863,1219,956,992,932,1047,846,OSBPL7
ENSG00000006042,1089,1431,1671,1223,1665,1478,1837,1510,1599,1519,1765,1510,TMEM98
ENSG00000006047,232,428,435,312,493,442,478,372,395,345,418,317,YBX2
ENSG00000006059,0,0,0,0,0,0,0,0,0,0,0,0,KRT33A
ENSG00000006062,237,342,396,326,461,454,390,297,325,277,342,238,MAP3K14
ENSG00000006071,17,19,11,14,64,66,40,21,9,11,8,14,ABCC8
ENSG00000006116,1,24,14,2,27,19,6,5,0,3,0,2,CACNG3
ENSG00000006118,2193,3439,4338,2925,4365,3883,4051,3160,3234,2850,3625,2830,TMEM132A
ENSG00000006125,12383,18090,17151,14514,18660,15514,19933,17391,16403,14639,17052,13876,AP2B1
ENSG00000006128,20,55,56,28,152,131,61,41,22,37,32,29,TAC1
ENSG00000006194,849,1149,1252,1048,1172,867,1363,1176,1284,1028,1266,997,ZNF263
ENSG00000006210,56,99,159,56,254,253,136,92,62,85,42,71,CX3CL1
ENSG00000006282,1264,1899,1989,1537,1957,1660,2087,1657,1772,1520,1959,1455,SPATA20
ENSG00000006283,532,795,746,639,894,650,936,783,659,648,874,533,CACNA1G
ENSG00000006327,574,716,1054,714,774,546,813,655,884,647,786,572,TNFRSF12A
ENSG00000006377,1461,1986,1891,1608,1912,1451,2200,1949,1825,1662,1866,1552,DLX6
ENSG00000006432,559,948,901,705,949,771,1203,960,776,734,861,680,MAP3K9
ENSG00000006451,1730,2503,2477,2095,2368,2080,2718,2431,2207,2023,2446,1837,RALA
ENSG00000006453,583,837,945,743,811,665,1006,852,827,707,819,616,BAIAP2L1
ENSG00000006459,803,1162,1128,1034,1256,1000,1328,1251,1170,993,1299,961,KDM7A
ENSG00000006468,920,1209,1202,968,1286,1089,1302,1177,1127,1040,1134,985,ETV1
ENSG00000006530,1522,1923,1975,1817,2049,1557,2449,2136,1960,1672,2147,1600,AGK
ENSG00000006534,72,101,174,90,123,113,162,140,101,101,99,134,ALDH3B1
ENSG00000006555,3,5,3,7,11,3,16,4,0,1,8,6,TTC22
ENSG00000006576,1161,1602,1619,1328,1564,1373,1802,1634,1643,1370,1745,1288,PHTF2
ENSG00000006606,2,3,12,5,7,5,14,5,3,2,6,3,CCL26
ENSG00000006607,1302,1883,1884,1592,1856,1509,2005,1764,1718,1475,1909,1494,FARP2
ENSG00000006611,9,13,42,29,19,11,23,17,378,30,282,129,USH1C
ENSG00000006625,2646,3710,3445,3173,3514,3050,4114,3668,3409,3048,3705,2988,GGCT
ENSG00000006634,1552,2195,2001,1724,2155,1695,2375,2176,2001,1808,2187,1701,DBF4
ENSG00000006638,38,72,51,44,55,41,73,48,40,39,53,44,TBXA2R
ENSG00000006652,2837,3933,3807,3270,4122,3230,4500,3859,3863,3310,4031,3110,IFRD1
ENSG00000006659,0,0,0,0,0,0,0,0,0,0,0,0,LGALS14
ENSG00000006695,1236,1611,1567,1459,1665,1289,2033,1558,1550,1364,1748,1237,COX10
ENSG00000006704,1370,1976,1928,1604,2113,1597,2192,1684,1863,1575,1955,1559,GTF2IRD1
ENSG00000006712,866,1220,1428,1062,1315,1169,1514,1208,1285,1077,1297,1014,PAF1
ENSG00000006715,1339,1849,1997,1483,2037,2019,2060,1826,1811,1540,1983,1454,VPS41
ENSG00000006740,543,831,782,710,900,713,964,811,852,714,792,688,ARHGAP44
ENSG00000006744,5058,7145,7234,6293,7316,5489,8126,6923,6710,5835,7355,5547,ELAC2
ENSG00000006747,15,26,28,13,24,19,23,12,14,33,18,25,SCIN
ENSG00000006756,239,401,474,287,380,378,466,363,439,425,406,309,ARSD
ENSG00000006757,446,627,618,512,622,613,730,575,651,535,673,463,PNPLA4
ENSG00000006788,0,1,10,6,0,0,0,1,0,0,0,0,MYH13
ENSG00000006831,4286,5954,5944,5122,5783,5013,6778,6142,5928,4912,6305,4751,ADIPOR2
ENSG00000006837,85,156,117,103,136,126,149,123,141,87,122,117,CDKL3
ENSG00000007001,3,10,1,1,9,9,2,3,0,0,0,1,UPP2
ENSG00000007038,7,6,5,1,2,0,6,1,1,10,3,10,PRSS21
ENSG00000007047,2026,2940,2998,2424,3271,2548,3475,2663,2819,2521,3048,2394,MARK4
ENSG00000007062,1518,2243,2323,1904,2181,2161,2358,2044,1996,1681,2347,1848,PROM1
